# File: A00.india_state_laborforce.csv
# Title: Estimated labour force projections
# Units: NA
# Description: Estimated to correct the trajectory of GDP growth rates
# Column types: cin
# ----------
region,year,laborforce
UP,2095,0.441623605
UP,2100,0.410435266
WB,1975,0.5
WB,1990,0.5
WB,2005,0.5
WB,2010,0.469999667
WB,2015,0.4489998
WB,2020,0.369880032
WB,2025,0.418622187
WB,2030,0.469143623
WB,2035,0.520474051
WB,2040,0.56946196
WB,2045,0.606955871
WB,2050,0.629795787
WB,2055,0.638685917
WB,2060,0.641091792
WB,2065,0.636224025
WB,2070,0.626297462
WB,2075,0.610249233
WB,2080,0.589221613
WB,2085,0.561828477
WB,2090,0.530421672
WB,2095,0.496685114
WB,2100,0.467870722
